name,slug,value_kWh,date_of_information,ranking,region
China,china,"5,883,000,000,000",2016,1,East Asia/Southeast Asia
United-States,united-states,"4,095,000,000,000",2016,2,North America
India,india,"1,386,000,000,000",2016,3,South Asia
Russia,russia,"1,031,000,000,000",2016,4,Central Asia
Japan,japan,"989,300,000,000",2016,5,East Asia/Southeast Asia
Canada,canada,"649,600,000,000",2016,6,North America
Germany,germany,"612,800,000,000",2016,7,Europe
Brazil,brazil,"567,900,000,000",2016,8,South America
France,france,"529,100,000,000",2016,9,Europe
Korea-South,korea-south,"526,000,000,000",2016,10,East Asia/Southeast Asia
Saudi-Arabia,saudi-arabia,"324,100,000,000",2016,11,Middle East
United-Kingdom,united-kingdom,"318,200,000,000",2016,12,Europe
Mexico,mexico,"302,700,000,000",2016,13,North America
Italy,italy,"275,300,000,000",2016,14,Europe
Iran,iran,"272,300,000,000",2016,15,Middle East
Turkey,turkey,"261,900,000,000",2016,16,Middle East
Spain,spain,"258,600,000,000",2016,17,Europe
Taiwan,taiwan,"246,100,000,000",2016,18,East Asia/Southeast Asia
Australia,australia,"243,000,000,000",2016,19,Australia - Oceania
Indonesia,indonesia,"235,400,000,000",2016,20,East Asia/Southeast Asia
South-Africa,south-africa,"234,500,000,000",2016,21,Africa
Egypt,egypt,"183,500,000,000",2016,22,Africa
Thailand,thailand,"181,500,000,000",2016,23,East Asia/Southeast Asia
Vietnam,vietnam,"158,200,000,000",2016,24,East Asia/Southeast Asia
Poland,poland,"156,900,000,000",2016,25,Europe
Ukraine,ukraine,"153,600,000,000",2016,26,Europe
Sweden,sweden,"152,900,000,000",2016,27,Europe
Malaysia,malaysia,"148,300,000,000",2016,28,East Asia/Southeast Asia
Norway,norway,"147,700,000,000",2016,29,Europe
Argentina,argentina,"131,900,000,000",2016,30,South America
United-Arab-Emirates,united-arab-emirates,"121,800,000,000",2016,31,Middle East
Pakistan,pakistan,"109,700,000,000",2016,32,South Asia
Netherlands,netherlands,"109,300,000,000",2016,33,Europe
Venezuela,venezuela,"109,300,000,000",2016,34,South America
Kazakhstan,kazakhstan,"100,800,000,000",2016,35,Central Asia
Philippines,philippines,"86,590,000,000",2016,36,East Asia/Southeast Asia
Belgium,belgium,"79,830,000,000",2016,37,Europe
Czechia,czechia,"77,390,000,000",2016,38,Europe
Chile,chile,"76,090,000,000",2016,39,South America
Iraq,iraq,"75,450,000,000",2016,40,Middle East
Colombia,colombia,"74,920,000,000",2016,41,South America
Algeria,algeria,"66,890,000,000",2016,42,Africa
Finland,finland,"66,540,000,000",2016,43,Europe
Kuwait,kuwait,"65,950,000,000",2016,44,Middle East
Paraguay,paraguay,"63,130,000,000",2016,45,South America
Israel,israel,"63,090,000,000",2016,46,Middle East
Romania,romania,"61,780,000,000",2016,47,Europe
Austria,austria,"60,780,000,000",2016,48,Europe
Bangladesh,bangladesh,"60,510,000,000",2016,49,South Asia
Switzerland,switzerland,"59,010,000,000",2016,50,Europe
Portugal,portugal,"56,900,000,000",2016,51,Europe
Uzbekistan,uzbekistan,"55,550,000,000",2016,52,Central Asia
Greece,greece,"52,050,000,000",2016,53,Europe
Peru,peru,"50,130,000,000",2016,54,South America
Singapore,singapore,"48,660,000,000",2016,55,East Asia/Southeast Asia
New-Zealand,new-zealand,"42,530,000,000",2016,56,Australia - Oceania
Bulgaria,bulgaria,"42,290,000,000",2016,57,Europe
Qatar,qatar,"39,780,000,000",2016,58,Middle East
Serbia,serbia,"36,540,000,000",2016,59,Europe
Hong-Kong,hong-kong,"35,970,000,000",2016,60,East Asia/Southeast Asia
Libya,libya,"34,240,000,000",2016,61,Africa
Oman,oman,"32,160,000,000",2016,62,Middle East
Belarus,belarus,"31,580,000,000",2016,63,Europe
Hungary,hungary,"30,220,000,000",2016,64,Europe
Denmark,denmark,"29,840,000,000",2016,65,Europe
Laos,laos,"29,740,000,000",2016,66,East Asia/Southeast Asia
Nigeria,nigeria,"29,350,000,000",2016,67,Africa
Morocco,morocco,"28,750,000,000",2016,68,Africa
Ireland,ireland,"28,530,000,000",2016,69,Europe
Bahrain,bahrain,"26,810,000,000",2016,70,Middle East
Ecuador,ecuador,"26,500,000,000",2016,71,South America
Slovakia,slovakia,"25,320,000,000",2016,72,Europe
Azerbaijan,azerbaijan,"23,570,000,000",2016,73,Middle East
Turkmenistan,turkmenistan,"21,180,000,000",2016,74,Central Asia
Puerto-Rico,puerto-rico,"20,950,000,000",2016,75,Central America
Cuba,cuba,"19,280,000,000",2016,76,Central America
Jordan,jordan,"18,600,000,000",2016,77,Middle East
Tunisia,tunisia,"18,440,000,000",2016,78,Africa
Mozambique,mozambique,"18,390,000,000",2016,79,Africa
Iceland,iceland,"18,170,000,000",2016,80,Europe
Dominican-Republic,dominican-republic,"18,030,000,000",2016,81,Central America
Lebanon,lebanon,"17,590,000,000",2016,82,Middle East
Burma,burma,"17,320,000,000",2016,83,East Asia/Southeast Asia
Syria,syria,"17,070,000,000",2016,84,Middle East
Tajikistan,tajikistan,"17,030,000,000",2016,85,Central Asia
Bosnia-and-Herzegovina,bosnia-and-herzegovina,"16,990,000,000",2016,86,Europe
Korea-North,korea-north,"16,570,000,000",2016,87,East Asia/Southeast Asia
Slovenia,slovenia,"15,460,000,000",2016,88,Europe
Sudan,sudan,"13,990,000,000",2016,89,Africa
Sri-Lanka,sri-lanka,"13,660,000,000",2016,90,South Asia
Georgia,georgia,"13,240,000,000",2016,91,Middle East
Uruguay,uruguay,"13,130,000,000",2016,92,South America
Kyrgyzstan,kyrgyzstan,"13,040,000,000",2016,93,Central Asia
Ghana,ghana,"12,520,000,000",2016,94,Africa
Croatia,croatia,"12,200,000,000",2016,95,Europe
Guatemala,guatemala,"12,120,000,000",2016,96,Central America
Estonia,estonia,"11,550,000,000",2016,97,Europe
Zambia,zambia,"11,550,000,000",2016,98,Africa
Ethiopia,ethiopia,"11,150,000,000",2016,99,Africa
Costa-Rica,costa-rica,"10,790,000,000",2016,100,Central America
Panama,panama,"10,600,000,000",2016,101,Central America
Angola,angola,"10,200,000,000",2016,102,Africa
Trinidad-and-Tobago,trinidad-and-tobago,"10,070,000,000",2016,103,Central America
Cote-d'Ivoire,cote-divoire,"9,730,000,000",2016,104,Africa
Kenya,kenya,"9,634,000,000",2016,105,Africa
Congo-Democratic-Republic-of-the,congo-democratic-republic-of-the,"9,046,000,000",2016,106,Africa
Bolivia,bolivia,"8,951,000,000",2016,107,South America
Honduras,honduras,"8,501,000,000",2016,108,Central America
Cameroon,cameroon,"8,108,000,000",2016,109,Africa
Bhutan,bhutan,"7,883,000,000",2016,110,South Asia
Albania,albania,"7,138,000,000",2016,111,Europe
Armenia,armenia,"6,951,000,000",2016,112,Middle East
Zimbabwe,zimbabwe,"6,800,000,000",2016,113,Africa
Tanzania,tanzania,"6,699,000,000",2016,114,Africa
Latvia,latvia,"6,241,000,000",2016,115,Europe
El-Salvador,el-salvador,"5,830,000,000",2016,116,Central America
Kosovo,kosovo,"5,638,000,000",2016,117,Europe
Moldova,moldova,"5,490,000,000",2016,118,Europe
Mongolia,mongolia,"5,339,000,000",2016,120,East Asia/Southeast Asia
Cambodia,cambodia,"5,210,000,000",2016,121,East Asia/Southeast Asia
Yemen,yemen,"4,784,000,000",2016,122,Middle East
Cyprus,cyprus,"4,618,000,000",2016,123,Europe
Nicaragua,nicaragua,"4,454,000,000",2016,124,Central America
Nepal,nepal,"4,244,000,000",2016,125,South Asia
Senegal,senegal,"4,167,000,000",2016,126,Africa
Brunei,brunei,"4,014,000,000",2016,127,East Asia/Southeast Asia
Jamaica,jamaica,"4,007,000,000",2016,128,Central America
Papua-New-Guinea,papua-new-guinea,"3,481,000,000",2016,129,East Asia/Southeast Asia
Uganda,uganda,"3,463,000,000",2016,130,Africa
Lithuania,lithuania,"3,131,000,000",2016,131,Europe
Montenegro,montenegro,"3,045,000,000",2016,132,Europe
New-Caledonia,new-caledonia,"2,945,000,000",2016,133,Australia - Oceania
Mauritius,mauritius,"2,898,000,000",2016,134,Africa
Botswana,botswana,"2,527,000,000",2016,135,Africa
Mali,mali,"2,489,000,000",2016,136,Africa
Gabon,gabon,"2,244,000,000",2016,137,Africa
Suriname,suriname,"1,967,000,000",2016,138,South America
Curacao,curacao,"1,785,000,000",2012,139,Central America
Bahamas-The,bahamas-the,"1,778,000,000",2016,140,Central America
Guam,guam,"1,722,000,000",2016,141,Australia - Oceania
Madagascar,madagascar,"1,706,000,000",2016,142,Africa
Congo-Republic-of-the,congo-republic-of-the,"1,696,000,000",2016,143,Africa
Malawi,malawi,"1,420,000,000",2016,144,Africa
Namibia,namibia,"1,403,000,000",2016,145,Africa
Afghanistan,afghanistan,"1,211,000,000",2016,146,South Asia
Mauritania,mauritania,"1,139,000,000",2016,147,Africa
West-Bank,west-bank,"1,093,000,000",2016,148,Middle East
Haiti,haiti,"1,023,000,000",2016,149,Central America
Barbados,barbados,"1,010,000,000",2016,150,Central America
Guyana,guyana,"1,010,000,000",2016,151,South America
Burkina-Faso,burkina-faso,"990,000,000",2016,152,Africa
Aruba,aruba,"939,000,000",2016,153,Central America
Macau,macau,"929,000,000",2016,154,East Asia/Southeast Asia
Fiji,fiji,"914,000,000",2016,155,Australia - Oceania
Malta,malta,"813,000,000",2016,156,Europe
Virgin-Islands,virgin-islands,"704,000,000",2016,157,Central America
French-Polynesia,french-polynesia,"677,300,000",2016,158,Australia - Oceania
Bermuda,bermuda,"650,000,000",2016,159,North America
Cayman-Islands,cayman-islands,"650,000,000",2016,160,Central America
Marshall-Islands,marshall-islands,"650,000,000",2016,161,Australia - Oceania
Guinea,guinea,"598,000,000",2016,162,Africa
Greenland,greenland,"538,000,000",2016,163,North America
Rwanda,rwanda,"525,000,000",2016,164,Africa
Lesotho,lesotho,"510,000,000",2016,165,Africa
Equatorial-Guinea,equatorial-guinea,"500,000,000",2016,166,Africa
Niger,niger,"494,700,000",2016,167,Africa
Eritrea,eritrea,"415,900,000",2016,168,Africa
South-Sudan,south-sudan,"412,800,000",2016,169,Africa
Djibouti,djibouti,"405,500,000",2016,170,Africa
Maldives,maldives,"402,000,000",2016,171,South Asia
Cabo-Verde,cabo-verde,"395,000,000",2016,172,Africa
Eswatini,eswatini,"381,000,000",2016,173,Africa
Saint-Lucia,saint-lucia,"369,000,000",2016,174,Central America
Seychelles,seychelles,"350,000,000",2016,175,Africa
Somalia,somalia,"339,000,000",2016,176,Africa
Benin,benin,"335,000,000",2016,177,Africa
Luxembourg,luxembourg,"334,500,000",2016,178,Europe
Antigua-and-Barbuda,antigua-and-barbuda,"331,000,000",2016,179,Central America
Faroe-Islands,faroe-islands,"307,000,000",2016,180,Europe
Sint-Maarten,sint-maarten,"304,300,000",2008,181,Central America
Gambia-The,gambia-the,"304,100,000",2016,182,Africa
Burundi,burundi,"304,000,000",2016,183,Africa
Liberia,liberia,"300,000,000",2016,184,Africa
Sierra-Leone,sierra-leone,"300,000,000",2016,185,Africa
Belize,belize,"280,000,000",2016,186,Central America
Gibraltar,gibraltar,"238,800,000",2016,187,Europe
Turks-and-Caicos-Islands,turks-and-caicos-islands,"235,000,000",2016,188,Central America
Togo,togo,"232,600,000",2016,189,Africa
Chad,chad,"224,300,000",2016,190,Africa
Saint-Kitts-and-Nevis,saint-kitts-and-nevis,"208,000,000",2016,191,Central America
Grenada,grenada,"202,100,000",2016,192,Central America
Micronesia-Federated-States-of,micronesia-federated-states-of,"192,000,000",2002,193,Australia - Oceania
Central-African-Republic,central-african-republic,"171,400,000",2016,194,Africa
American-Samoa,american-samoa,"169,000,000",2016,195,Australia - Oceania
Saint-Vincent-and-the-Grenadines,saint-vincent-and-the-grenadines,"157,000,000",2016,196,Central America
Samoa,samoa,"132,000,000",2016,197,Australia - Oceania
British-Virgin-Islands,british-virgin-islands,"126,300,000",2016,198,Central America
Dominica,dominica,"111,400,000",2016,199,Central America
Solomon-Islands,solomon-islands,"103,000,000",2016,200,Australia - Oceania
Andorra,andorra,"99,480,000",2015,201,Europe
Liechtenstein,liechtenstein,"68,430,000",2015,202,Europe
Sao-Tome-and-Principe,sao-tome-and-principe,"66,000,000",2016,203,Africa
Vanuatu,vanuatu,"63,000,000",2016,204,Australia - Oceania
Tonga,tonga,"52,000,000",2016,205,Australia - Oceania
Saint-Pierre-and-Miquelon,saint-pierre-and-miquelon,"46,000,000",2016,206,North America
Comoros,comoros,"42,000,000",2016,207,Africa
Guinea-Bissau,guinea-bissau,"39,000,000",2016,208,Africa
Cook-Islands,cook-islands,"34,000,000",2016,209,Australia - Oceania
Kiribati,kiribati,"29,000,000",2016,210,Australia - Oceania
Montserrat,montserrat,"24,000,000",2016,211,Central America
Nauru,nauru,"24,000,000",2016,212,Australia - Oceania
Falkland-Islands-(Islas-Malvinas),falkland-islands-islas-malvinas,"19,000,000",2016,213,South America
Tuvalu,tuvalu,"11,800,000",2011,214,Australia - Oceania
Saint-Helena-Ascension-and-Tristan-da-Cunha,saint-helena-ascension-and-tristan-da-cunha,"7,000,000",2016,215,Africa
Niue,niue,"3,000,000",2016,216,Australia - Oceania
Northern-Mariana-Islands,northern-mariana-islands,"60,600",2009,217,Australia - Oceania
Gaza-Strip,gaza-strip,"51,000",2011,218,Middle East
Timor-Leste,timor-leste,0,2016,219,East Asia/Southeast Asia
